region,south.border.name,state,south.border.lat,north.border.name,north.border,east.west border,east.west,line.start.lat,line.start.lon,line.end.lat,line.end.lon,label_lat1,label_long1,label_lat2,label_long2,comments,,
MONT,Point Sur,ca,36.3,Pigeon Pt,37.1833,,,36.3,-122,37.1833,-127,36.2,-129,,,,,
SFB,Pigeon Pt,ca,37.1833,Point Arena,38.958333,,,37.1833,-122.5,38.958333,-127,38.458333,-129,,,,,
MEN,Point Arena,ca,38.958333,Horse Mountain,40.08333,,,38.958333,-123.5,40.08333,-127,40.8,-126.6,,,,,
NCA,Horse Mountain,ca,40.08333,CA-OR Border,42,,,40.08333,-124.5,42,-127,39.2,-127,,,,,-140
SOR,CA-OR Border,or,42,Humbug Mountain,42.6725,,,42,-124.5,42.6725,-127,42,-127.5,,,,,53.5
COR,Humbug Mountain,or,42.6725,Florence South Jetty,44.015,,,42.6725,-124.5,44.015,-127,43.515,-128.5,,,,,
NOR,Florence South Jetty,or,44.015,Cape Falcon,45.76666,,,44.015,-124,45.76666,-127,44.8,-128.5,,,,,
COL,Cape Falcon,or,45.76666,Leadbetter Pt,46.63611,,,45.76666,-124,46.63611,-127,45.5,-126,,,,,
WAC,Leadbetter Pt,wa,46.63611,US.CAN Border,,Sekiu river mouth,-124.39348,46.63611,,,,47.5,-127,,,,,
WAC.1,,wa,,,,,,48.42,-123.109,48.23,-123.54,,,,,,,
WAC.2,,wa,,,,,,48.23,-123.54,48.48,-124.78,,,,,,,
WAC.3,,wa,,,,,,48.48,-124.78,48.48,-127,,,,,,,
PUSO,,bc,,US.CAN Border,,Sekiu river mouth,-124.39348,,,,,,,,,,,
SGEO,US.CAN Border,bc,,Johnstone Strait,,Bonilla Point Light,-124.7177167,50.87719,-128.050364,50.97555,-127.470233,,,,,line is at northern edge of Johnston Strait,,
SWVI,US.CAN Border,bc,,Estevan Point,,Bonilla Point Light,-124.7177167,49.382966,-126.544033,49,-127.029133,48.5,-127,,,line is at area 125 and is northern border,,
