recovery_id,tag_type,tag_code,tag_status,sequential_number,Observer,Vessel_name,Vessel_type,Cruise_no,Second_Cruise_no,Vessel_or_Plant_code,Haul_or_Delivery_no,species_name_by_observer,Missing_Fins,sample:in_or_out?,recovery_date,run_year,Lat,latmin,Hem,Long,Longmin,Bear,Area,Source_of_capture_information,sex,gonad_maturity,length,weight,Other_comments,Scalesample,Date_entered,Plant_recovery,detection_method,sampling_site,Date_snout_sent_to_ABL,Jerry_detected_with_wand,sampling_agency,fishery,gear_name,Report_code,New_data,length_code,length_type,weight_code,weight_type,recorded_mark,location_type,hssector,sequential_column_number,sequential_row_number,delivery_date,plant_name,specimen_number,Initials_CWT_reader
1980092003,,631760,1,,,,,,,,,STEELHEAD,Ad,,19800713,1980,53,0,N,145,0,W,,,,,,,,,19841001,,V,hsea,,,,83,RESGILL,,N,,,,,5000,1,,,,,,,
1981091001,,042012,1,,TEIG,DAISHIU MARU #28,JV_JAPAN,,,,67,CHINOOK,Ad,,19811113,1981,55,0,N,158,12,W,,,F,,410,0.94,,,19841001,,V,hsea,,,,81,TRAWL,,N,0,1,1,1,5000,1,3,,,,,,
1981091002,,050452,1,,CHEATHAM,MYS OBRUCHEVA,,,,,52,CHINOOK,Ad,,19810907,1981,41,2,N,124,22,W,,,M,,630,2.8,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091003,,050536,1,,KRUEGER,MANTA,,,,,44,CHINOOK,Ad,,19810816,1981,40,49,N,124,26,W,,,F,,480,1.43,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091004,,050537,1,,KRUEGER,MANTA,,,,,46,CHINOOK,Ad,,19810816,1981,40,49,N,124,26,W,,,M,,500,1.53,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091005,,050539,1,,HOKMAN,MYS LUPATKA,,,,,7,CHINOOK,Ad,,19810607,1981,41,52,N,124,32,W,,,M,,410,1,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091006,,050619,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,25,CHINOOK,Ad,,19810809,1981,41,48,N,124,26,W,,,F,,525,1.78,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091007,,050646,1,,HOKMAN,18TH CONGRESS,JV_SOVIET,,,,14,CHINOOK,Ad,,19810702,1981,46,0,N,124,26,W,,,M,,585,2.9,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091008,,064103,1,,BUCHHOLZ,KAPRELIA,,,,,49,CHINOOK,Ad,,19811011,1981,42,49,N,124,55,W,,,F,,690,4.5,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091009,,065816,1,,BUCHHOLZ,KAPRELIA,,,,,48,CHINOOK,Ad,,19811016,1981,44,7,N,124,34,W,,,F,,600,3,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091010,,065901,1,,TONER,KLIMOVA,,,,,22,CHINOOK,Ad,,19810607,1981,41,56,N,124,28,W,,,M,,530,2.1,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091011,,065901,1,,VARNEY,LACERTA,,,,,6,CHINOOK,Ad,,19810719,1981,41,19,N,124,31,W,,,M,,570,2.5,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091012,,065901,1,,GRABTREE,DELFIN,,,,,12,CHINOOK,Ad,,19810824,1981,43,45,N,124,34,W,,,F,,610,3.2,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091013,,065901,1,,CHEATHAM,MYS OBRUCHEVA,,,,,58,CHINOOK,Ad,,19810905,1981,40,43,N,124,31,W,,,F,,590,2.4,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091014,,065901,1,,CHEATHAM,MYS OBRUCHEVA,,,,,56,CHINOOK,Ad,,19810905,1981,40,43,N,124,31,W,,,M,,610,3.1,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091015,,065901,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,28,CHINOOK,Ad,,19810814,1981,40,53,N,124,27,W,,,M,,610,3.2,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091016,,065901,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,30,CHINOOK,Ad,,19810816,1981,40,43,N,124,31,W,,,M,,560,2.4,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091017,,065901,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,36,CHINOOK,Ad,,19810909,1981,40,51,N,124,26,W,,,F,,690,4.85,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091018,,065901,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,26,CHINOOK,Ad,,19810809,1981,41,48,N,124,26,W,,,M,,630,3.4,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
1981091019,,065902,1,,HAMILTON,18TH CONGRESS,JV_SOVIET,,,,32,CHINOOK,Ad,,19810816,1981,40,46,N,124,28,W,,,F,,410,0.95,,,19841001,,V,hsea,,,,80,TRAWL,,N,0,1,1,1,5000,1,1,,,,,,
