region,year,sector,season,stat_area,open_date,close_date
GOA,1991,,,610,1-Jan,15-Feb
GOA,1991,,,610,13-Jun,24-Jul
GOA,1991,,,WSA,21-Oct,25-Oct
GOA,1991,,,620,1-Jan,15-Feb
GOA,1991,,,620,13-Jun,24-Jul
GOA,1991,,,CSA,21-Oct,25-Oct
GOA,1991,,,"640,650",1-Jan,8-Apr
GOA,1992,,,610,20-Jan,10-Mar
GOA,1992,,,610,31-May,3-Jun
GOA,1992,,,610,29-Jun,30-Jun
GOA,1992,,,620,20-Jan,28-Jan
GOA,1992,,,620,31-May,17-Jun
GOA,1992,,,620,29-Jun,12-Jul
GOA,1992,,,620,28-Sep,8-Oct
GOA,1992,,,630,20-Jan,27-Feb
GOA,1992,,,630,31-May,12-Jun
GOA,1992,,,630,29-Jun,7-Jul
GOA,1992,,,630,28-Sep,5-Oct
GOA,1992,,,"640,650",Closed,Closed
GOA,1993,Inshore,,610,20-Jan,24-Mar
GOA,1993,Inshore,,610,1-Jun,14-Jun
GOA,1993,Inshore,,610,1-Jul,11-Jul
GOA,1993,Inshore,,610,1-Oct,3-Oct
GOA,1993,Inshore,,620,20-Jan,25-Feb
GOA,1993,Inshore,,620,1-Jun,18-Jun
GOA,1993,Inshore,,620,1-Jul,5-Jul
GOA,1993,Inshore,,620,9-Aug,10-Aug
GOA,1993,Inshore,,620,1-Oct,10-Oct
GOA,1993,Inshore,,630,20-Jan,25-Feb
GOA,1993,Inshore,,630,1-Jun,24-Jun
GOA,1993,Inshore,,630,1-Jul,20-Jul
GOA,1993,Inshore,,630,1-Oct,13-Oct
GOA,1993,Inshore,,"640,650",Closed,
GOA,1994,Offshore,,,Closed,
GOA,1994,Inshore,,610,20-Jan,4-Feb
GOA,1994,Inshore,,610,1-Jun,2-Jun
GOA,1994,Inshore,,610,1-Jul,2-Jul
GOA,1994,Inshore,,610,1-Oct,4-Oct
GOA,1994,Inshore,,620,20-Jan,9-Feb
GOA,1994,Inshore,,620,1-Jun,5-Jun
GOA,1994,Inshore,,620,1-Jul,15-Jul
GOA,1994,Inshore,,620,1-Oct,10-Oct
GOA,1994,Inshore,,630,20-Jan,18-Feb
GOA,1994,Inshore,,630,1-Jun,22-Jun
GOA,1994,Inshore,,630,1-Jul,15-Jul
GOA,1994,Inshore,,630,1-Oct,10-Oct
GOA,1994,Inshore,,"640,650",20-Jan,28-Mar
GOA,1994,Offshore,,,Closed,
GOA,1995,Inshore,,610,20-Jan,2-Feb
GOA,1995,Inshore,,610,1-Jun,2-Jun
GOA,1995,Inshore,,610,1-Jul,2-Jul
GOA,1995,Inshore,,610,1-Oct,1-Oct
GOA,1995,Inshore,,620,20-Jan,24-Jan
GOA,1995,Inshore,,620,8-Feb,10-Feb
GOA,1995,Inshore,,620,1-Jun,5-Jun
GOA,1995,Inshore,,620,1-Jul,6-Jul
GOA,1995,Inshore,,620,1-Oct,2-Oct
GOA,1995,Inshore,,630,20-Jan,24-Jan
GOA,1995,Inshore,,630,1-Jun,5-Jun
GOA,1995,Inshore,,630,1-Jul,5-Jul
GOA,1995,Inshore,,630,1-Oct,4-Oct
GOA,1995,Inshore,,"640,650",20-Jan,27-Feb
GOA,1995,Offshore,,,Closed,
GOA,1996,Inshore,,610,20-Jan,28-Jan
GOA,1996,Inshore,,610,1-Jun,1-Jun
GOA,1996,Inshore,,610,1-Sep,18-Sep
GOA,1996,Inshore,,620,20-Jan,29-Jan
GOA,1996,Inshore,,620,1-Jun,1-Jun
GOA,1996,Inshore,,620,1-Sep,19-Sep
GOA,1996,Inshore,,620,5-Oct,13-Oct
GOA,1996,Inshore,,630,20-Jan,23-Jan
GOA,1996,Inshore,,630,29-Jan,2-Feb
GOA,1996,Inshore,,630,1-Jun,1-Jun
GOA,1996,Inshore,,630,1-Sep,3-Sep
GOA,1996,Inshore,,640,20-Jan,2-Dec
GOA,1996,Inshore,,650,20-Jan,2-Dec
GOA,1996,Offshore,,,Closed,
GOA,1997,Inshore,,610,20-Jan,26-Jan
GOA,1997,Inshore,,610,1-Jun,2-Jun
GOA,1997,Inshore,,610,1-Sep,7-Sep
GOA,1997,Inshore,,620,20-Jan,7-Feb
GOA,1997,Inshore,,620,1-Jun,8-Jun
GOA,1997,Inshore,,620,1-Sep,21-Sep
GOA,1997,Inshore,,630,20-Jan,4-Feb
GOA,1997,Inshore,,630,1-Jun,9-Jun
GOA,1997,Inshore,,630,1-Sep,12-Sep
GOA,1997,Inshore,,640,20-Jan,2-Mar
GOA,1997,Inshore,,650,20-Jan,2-Mar
GOA,1997,Offshore,,"640,650",Closed,
GOA,1998,Inshore,,610,20-Jan,26-Jan
GOA,1998,Inshore,,610,1-Jun,3-Jun
GOA,1998,Inshore,,610,8-Jun,19-Jun
GOA,1998,Inshore,,610,1-Sep,2-Sep
GOA,1998,Inshore,,610,9-Sep,14-Sep
GOA,1998,Inshore,,610,24-Sep,25-Sep
GOA,1998,Inshore,,620,20-Jan,2-Feb
GOA,1998,Inshore,,620,1-Jun,1-Jul
GOA,1998,Inshore,,620,1-Sep,12-Oct
GOA,1998,Inshore,,620,27-Oct,30-Oct
GOA,1998,Inshore,,630,20-Jan,2-Feb
GOA,1998,Inshore,,630,1-Jun,12-Jun
GOA,1998,Inshore,,630,1-Sep,16-Sep
GOA,1998,Inshore,,630,26-Sep,26-Sep
GOA,1998,Inshore,,640,20-Jan,9-Mar
GOA,1998,Inshore,,650,20-Jan,9-Mar
GOA,1998,Offshore               ,,,Closed,
GOA,1999,Inshore,,610,20-Jan,31-Jan
GOA,1999,Inshore,,610,1-Jun,7-Jun
GOA,1999,Inshore,,610,1-Sep,1-Sep
GOA,1999,Inshore,,610,14-Sep,20-Sep
GOA,1999,Inshore,,610,23-Sep,23-Sep
GOA,1999,Inshore,,620,20-Jan,17-Feb
GOA,1999,Inshore,,620,1-Jun,11-Jun
GOA,1999,Inshore,,620,1-Sep,2-Sep
GOA,1999,Inshore,,620,14-Sep,1-Oct
GOA,1999,Inshore,,620,6-Oct,12-Oct
GOA,1999,Inshore,,620,14-Oct,15-Oct
GOA,1999,Inshore,,630,20-Jan,27-Jan
GOA,1999,Inshore,,630,1-Jun,10-Jun
GOA,1999,Inshore,,630,1-Sep,2-Sep
GOA,1999,Inshore,,630,14-Sep,16-Sep
GOA,1999,Inshore,,630,21-Sep,24-Sep
GOA,1999,Inshore,,640,20-Jan,6-Mar
GOA,1999,Inshore,,650,20-Jan,6-Mar
GOA,1999,Offshore,,,Closed,
GOA,2000,Inshore,,610,20-Jan,31-Jan
GOA,2000,Inshore,,610,15-Mar,18-Mar
GOA,2000,Inshore,,610,20-Aug,15-Sep
GOA,2000,Inshore,,610,1-Oct,1-Nov
GOA,2000,Inshore,,620,20-Jan,27-Jan
GOA,2000,Inshore,,620,15-Mar,15-Mar
GOA,2000,Inshore,,620,20-Aug,15-Sep
GOA,2000,Inshore,,620,1-Oct,1-Nov
GOA,2000,Inshore,,630,20-Jan,25-Jan
GOA,2000,Inshore,,630,15-Mar,17-Mar
GOA,2000,Inshore,,630,20-Aug,29-Aug
GOA,2000,Inshore,,630,1-Oct,1-Nov
