YEAR,MONTH,FMP_AREA,FMP_SUB_AREA,REPORTING_AREA,MANAGEMENT_PROGRAM,TARGET,PROCESSING_SECTOR,VESSEL_LENGTH_CATEGORY,TOTAL_GF_CATCH_MT,TOTAL_OBS_DECIMAL_DAYS,VESSEL_COUNT,FLAG
2018,1,BSAI,AI,541,,Non-Pollock,CP,>= 60 ft LOA,240.2,1.511,2,Confidential
2018,1,BSAI,AI,542,,Non-Pollock,CP,>= 60 ft LOA,605.9,1.542,1,Confidential
2018,1,BSAI,BS,509,,Non-Pollock,CP,>= 60 ft LOA,2499.8,20.751,14,
2018,1,BSAI,BS,509,,Non-Pollock,M,>= 60 ft LOA,1038.5,13.706,5,
2018,1,BSAI,BS,509,,Non-Pollock,S,>= 60 ft LOA,1060.9,18.264,23,
2018,1,BSAI,BS,509,,Pollock,CP,>= 60 ft LOA,37416.7,32.392,12,
2018,1,BSAI,BS,509,,Pollock,M,>= 60 ft LOA,3882.7,6.994,3,
2018,1,BSAI,BS,509,,Pollock,S,>= 60 ft LOA,17273.7,13.958,29,
2018,1,BSAI,BS,513,,Non-Pollock,CP,>= 60 ft LOA,5660,41.156,14,
2018,1,BSAI,BS,513,,Non-Pollock,M,>= 60 ft LOA,296.7,3.858,2,Confidential
2018,1,BSAI,BS,516,,Non-Pollock,CP,>= 60 ft LOA,1213.6,13.478,7,
2018,1,BSAI,BS,516,,Non-Pollock,M,>= 60 ft LOA,15,0.326,1,Confidential
2018,1,BSAI,BS,516,,Pollock,CP,>= 60 ft LOA,711.5,0.731,4,
2018,1,BSAI,BS,517,,Non-Pollock,CP,>= 60 ft LOA,174,2.392,3,
2018,1,BSAI,BS,517,,Non-Pollock,M,>= 60 ft LOA,551.8,7.371,2,Confidential
2018,1,BSAI,BS,517,,Non-Pollock,S,<60 ft LOA,15.1,0.233,1,Confidential
2018,1,BSAI,BS,517,,Non-Pollock,S,>= 60 ft LOA,2993.4,41.718,26,
2018,1,BSAI,BS,517,,Pollock,CP,>= 60 ft LOA,6645.1,3.701,7,
