"","vessel_name","permit","vessel_type_desc","ves_cfec_cg_num","ves_akr_adfg"
"1","TOPAZ","405","Catcher Vessel","575428","40250"
"2","MARATHON","2943","Mothership - Unsorted Catch","596156","49617"
"3","MARATHON","1191","Catcher Vessel","596156","49617"
"4","MARATHON","3396","Mothership - Unsorted Catch","596156","49617"
"5","HAZEL LORRAINE","523","Catcher Vessel","592211","57117"
"6","HAZEL LORRAINE","3870","Mothership - Unsorted Catch","592211","57117"
"7","BLUE FOX","1232","Catcher Vessel","514665","66039"
"8","BLUE FOX","3703","Mothership - Unsorted Catch","514665","66039"
"9","DAWN","5","Catcher Vessel","532081","09206"
"10","ANITA J","1913","Catcher Vessel","560532","00029"
"11","ROYAL KING","2838","Catcher/Processor Vessel","592205","56197"
"12","CAPE KIWANDA","1235","Catcher Vessel",NA,"61432"
"13","GUNMAR",NA,NA,NA,NA
"14","AURORA","2888","Catcher Vessel","636919","56154"
"15","OCEAN HOPE 3","3664","Mothership - Unsorted Catch","652397","48173"
"16","OCEAN HOPE 3","4056","Mothership - Unsorted Catch","652397","48173"
"17","OCEAN HOPE 3","3362","Mothership - Unsorted Catch","652397","48173"
"18","OCEAN HOPE 3","1623","Catcher Vessel","652397","48173"
"19","PACIFIC RAM","4305","Catcher Vessel","589115","61792"
"20","DONA MARTITA","2047","Catcher Vessel","651751","51672"
"21","EXCELLENCE",NA,NA,NA,NA
"22","MARGUN",NA,NA,NA,NA
"23","ROYAL ATLANTIC","236","Catcher Vessel","559271","00046"
"24","TAASINGE","912","Catcher Vessel","547210","38001"
"25","ARCTIC_VI",NA,NA,NA,NA
"26","COHO","1230","Catcher Vessel","622773","56189"
"27","ALASKAN","2010","Catcher Vessel","510811","03734"
"28","LAURA","1571","Catcher Vessel","508622","21591"
"29","DONA PAULITA",NA,NA,NA,NA
"30","HARVESTER ENTERPRSE",NA,NA,NA,NA
"31","HARVESTER ENTERPRISE",NA,NA,NA,NA
"32","DONA MARTITA","2839","Mothership - Unsorted Catch","651751","51672"
"33","DONA MARTITA","3348","Mothership - Unsorted Catch","651751","51672"
"34","A 007",NA,NA,NA,NA
"35","FIERCE ALLEGIANCE",NA,NA,NA,NA
"36","GOLDEN ALASKA","1607","Mothership - Unsorted Catch","651041","52929"
"37","CATLIN ANN",NA,NA,NA,NA
"38","ARCTIC",NA,NA,NA,NA
"39","LISA_MARIE",NA,NA,NA,NA
"40","NEPUKANNIE",NA,NA,NA,NA
"41","ARCTIC III","2839","Mothership - Unsorted Catch","647985","55923"
"42","ARCTIC III","3245","Mothership - Unsorted Catch","647985","55923"
"43","GOLDEN ALASKA",NA,NA,NA,NA
"44","SHAWNA RAZ",NA,NA,NA,NA
"45","HM",NA,NA,NA,NA
"46","KAREN EVICH",NA,NA,NA,NA
"47","OCEAN STORM",NA,NA,NA,NA
"48","DONA MARTITA","2722","Mothership - Unsorted Catch","651751","51672"
"49","DONA MARTITA","3348","Mothership - Sorted Catch","651751","51672"
"50","MICHELLE RENE",NA,NA,NA,NA
"51","CHAMPION",NA,NA,NA,NA
"52","EXODUS",NA,NA,NA,NA
"53","DECISION",NA,NA,NA,NA
"54","MS_ING",NA,NA,NA,NA
"55","ARCTIC_6",NA,NA,NA,NA
"56","CAPE KINNDER",NA,NA,NA,NA
"57","OCEAN ENTERPRISE",NA,NA,NA,NA
"58","PALEN",NA,NA,NA,NA
"59","N_W_ENT",NA,NA,NA,NA
"60","ESKIMO PRINCESS",NA,NA,NA,NA
"61","3",NA,NA,NA,NA
"62","AMERICAN_NO1",NA,NA,NA,NA
"63","HAZEL LORRAINE",NA,NA,NA,NA
"64","ELIZABETH F",NA,NA,NA,NA
"65","NIGHTWATCH",NA,NA,NA,NA
"66","OCEAN PHOENIX",NA,NA,NA,NA
"67","TRACEY ANNE",NA,NA,NA,NA
"68","ALASKA DAWN",NA,NA,NA,NA
"69","ALEUTIAN NO 1",NA,NA,NA,NA
"70","INTREPID",NA,NA,NA,NA
"71","AJ",NA,NA,NA,NA
"72","ARCTIC_FJORD",NA,NA,NA,NA
"73","MAR PACIFICO",NA,NA,NA,NA
"74","M_KENU",NA,NA,NA,NA
"75","MORNING STAR",NA,NA,NA,NA
"76","MISS SARAH",NA,NA,NA,NA
"77","SEA VENTURE",NA,NA,NA,NA
"78","POSEIDON",NA,NA,NA,NA
"79","SEA DAWN",NA,NA,NA,NA
"80","WALTER N",NA,NA,NA,NA
"81","MISS SARAH","3442","Mothership - Unsorted Catch","921578","64109"
"82","CISA-MELINDA",NA,NA,NA,NA
"83","OCEAN HOPE 3",NA,NA,NA,NA
"84","CELTIC",NA,NA,NA,NA
"85","AK SPIRIT",NA,NA,NA,NA
"86","SEA FISHER",NA,NA,NA,NA
"87","COURTNEY NORAL",NA,NA,NA,NA
"88","TOPAZ",NA,NA,NA,NA
"89","Alaskan",NA,NA,NA,NA
"90","PROGRESS",NA,NA,NA,NA
"91","COLLIER BROTHERS",NA,NA,NA,NA
"92","OCEAN HOPE 3","1623","Catcher Vessel - Fish Discarded","652397","48173"
"93","ELIZABETH",NA,NA,NA,NA
"94","P038",NA,NA,NA,NA
"95","CARAVELLE","3402","Catcher Vessel","583916","57634"
"96","ALASKA BEAUTY",NA,NA,NA,NA
"97","OCEAN STORM","5000","Catcher Vessel","986786","64667"
