"CATCH_REPORT_TYPE_CODE","YEAR","EL_REPORT_ID","TRIP_TARGET_DATE","LANDING_DATE","PORT_CODE","PROCESSING_SECTOR","CATCHER_VESSEL_ID","MANAGEMENT_PROGRAM_CODE","AGENCY_GEAR_CODE","ADFG_STAT_AREA_CODE","REPORTING_AREA_CODE","ESTIMATED_COUNT","RATE_PRECEDENCE","RATE","RETAINED_GF_WEIGHT","TOTAL_GF_BASIS_WEIGHT","MANUAL_CALC_EXAMPLE"
"OBS",2018,,"7/7/2018",,,"CP",34249,"CDQ","NPT","795230","542",0,50,0,19.4641399,20.38656,0
"ELLR",2018,4603984,"9/3/2018","9/4/2018","KOD","S",6182,"OA","NPT","525702","630",0.80842608670771910382,40,0.0356938071,17.9792166527,22.6489173442,0.80842608670771910382
"ELLR",2018,4615458,"9/20/2018","9/23/2018","KOD","S",1235,"RPP","NPT","495730","630",0,50,0,66.4895427213,72.3660114395,0
"OBS",2018,,"4/14/2018",,,"CP",2123,"OA","NPT","565534","620",0,50,0,14.852988,16.25433,0
"OBS",2018,,"7/28/2018",,,"CP",4635,"A80","NPT","715202","541",0,50,0,6.7467354,7.27471,0
"OBS",2018,,"6/23/2018",,,"CP",2123,"OA","NPT","545732","620",0,50,0,7.5400677,8.74544,0
"ELLR",2018,3991875,"1/30/2018","1/31/2018","KOD","S",4305,"OA","PTR","525833","630",4.31791858926650410384,40,0.0587589296,73.1444912166,73.4853173579,4.31791858926650410384
"ELLR",2018,4621128,"10/22/2018","10/25/2018","KOD","S",993,"RPP","NPT","545602","620",0.0014105917634360265,50,0.0302669766,0.0253694213,0.0466049775,0.0014105917634360265
"OBS",2018,,"3/3/2018",,,"CP",3835,"A80","NPT","795230","542",0,50,0,23.0807902,23.32301,0
"ELLR",2018,3995550,"2/17/2018","2/18/2018","KOD","S",825,"OA","PTR","545702","620",57.55942489136804146008,50,0.4266043974,133.6641459992,134.9245934692,57.55942489136804146008
"ELLR",2018,4620115,"10/17/2018","10/18/2018","SPT","S",4187,"OA","NPT","605503","610",0,50,0,15.3045861002,17.4042381825,0
"ELLR",2018,4565232,"8/4/2018","8/7/2018","KOD","S",405,"OA","NPT","525702","630",111.08644372155550927939,40,1.4789780177,64.4608670465,75.1102737107,111.08644372155550927939
"OBS",2018,,"3/24/2018",,,"CP",34017,"A80","NPT","795230","542",0,50,0,27.188,27.188,0
"OBS",2018,,"7/28/2018",,,"CP",3423,"A80","NPT","875232","543",0,50,0,28.44719,28.50449,0
"OBS",2018,,"3/10/2018",,,"CP",34017,"A80","NPT","845202","543",0,50,0,28.56895,28.8981,0
"ELLR",2018,4620854,"10/22/2018","10/23/2018","SPT","S",3713,"OA","NPT","605431","610",0,40,0,40.4178757769,45.9628461853,0
"ELLR",2018,4584215,"8/28/2018","8/29/2018","KCO","S",4212,"OA","PTR","605531","610",0,50,0,6.6895802727,6.6905268155,0
"ELLR",2018,4616303,"9/25/2018","9/27/2018","KOD","S",1674,"RPP","NPT","495730","630",0,50,0,48.8256205628,53.1409191818,0
"OBS",2018,,"6/30/2018",,,"CP",1879,"OA","NPT","555630","620",0,50,0,20.5788041,21.41576,0
"OBS",2018,,"3/17/2018",,,"CP",34017,"A80","NPT","825201","542",0,50,0,22.30262,22.30262,0
"OBS",2018,,"4/7/2018",,,"CP",4635,"A80","NPT","725201","541",0,50,0,18.0108918,19.85297,0
"OBS",2018,,"6/16/2018",,,"CP",4093,"RPP","NPT","565501","620",0,50,0,21.66497,22.19425,0
"ELLR",2018,4004084,"3/22/2018","3/24/2018","KOD","S",4579,"OA","PTR","545732","620",0.9579864843642302824,40,0.0080175478,117.7947633424,119.486220508,0.9579864843642302824
"OBS",2018,,"6/9/2018",,,"CP",2123,"OA","NPT","565604","620",0,50,0,10.7542413,14.28919,0
"OBS",2018,,"9/29/2018",,,"CP",367,"OA","NPT","525702","630",0,50,0,8.7498135494,8.9324817601,0
"OBS",2018,,"7/28/2018",,,"CP",2800,"RPP","NPT","585432","620",0,50,0,46.21624,48.32708,0
"ELLR",2018,4001110,"3/14/2018","3/16/2018","ADA","S",4521,"SMPC","NPT","765138","541",0,25,0,68.0388555,70.4460504559,0
"OBS",2018,,"7/28/2018",,,"CP",1879,"RPP","NPT","585431","620",0,50,0,34.1146726,39.97887,0
"OBS",2018,,"8/11/2018",,,"CP",2123,"OA","PTR","415900","640",0,50,0,18.05068,18.114,0
"ELLR",2018,4574046,"8/25/2018","8/25/2018","KCO","S",1889,"OA","PTR","605431","610",0.5533032367829848259,40,0.0248502905,22.2623135195,22.2654635278,0.5533032367829848259
"ELLR",2018,3996249,"2/19/2018","2/21/2018","KOD","S",32645,"OA","PTR","555701","620",15.921491358853173231,40,0.131268374,119.620926224,121.2896212065,15.921491358853173231
