VESSEL NAME,ADFG,CG NUM,AFA PERMIT,BSAI POLLOCK RESTRICTED
ALASKA OCEAN,60407,637856,3794,N
AMERICAN DYNASTY,59378,951307,3681,N
AMERICAN ENTERPRISE,54836,594803,2760,N
AMERICAN TRIUMPH,60660,646737,4055,N
ARCTIC FJORD,57450,940866,3396,N
ARCTIC STORM,54886,903511,2943,N
ENDURANCE,57201,592206,3360,N
HIGHLAND LIGHT,56974,577044,3348,N
ISLAND ENTERPRISE,59503,610290,3870,N
KATIE ANN,55301,518441,1996,N
KODIAK ENTERPRISE,59170,579450,3671,N
NORTHERN EAGLE,56618,506694,3261,N
NORTHERN GLACIER,48075,663457,661,N
NORTHERN HAWK,60795,643771,4063,N
NORTHERN JAEGER,60202,521069,3896,N
OCEAN PEACE,55767,677399,2134,Y
OCEAN ROVER,56987,552100,3442,N
PACIFIC GLACIER,56991,933627,3357,N
SEATTLE ENTERPRISE,56789,904767,3245,N
STARBOUND,57621,944658,3414,N
U.S. ENTERPRISE,55125,921112,3004,N
