AFA COOP ID,COOP NAME,VESSEL NAME,ADFG,CG NUM,VESSEL AFA PERMIT
101,AKUTAN CATCHER VESSEL ASSOCIATION,ALDEBARAN,48215,664363,901
101,AKUTAN CATCHER VESSEL ASSOCIATION,ARCTIC EXPLORER,57440,936302,3388
101,AKUTAN CATCHER VESSEL ASSOCIATION,ARCTURUS,45978,655328,533
101,AKUTAN CATCHER VESSEL ASSOCIATION,BLUE FOX,62892,979437,4611
101,AKUTAN CATCHER VESSEL ASSOCIATION,BRISTOL EXPLORER,55923,647985,3007
101,AKUTAN CATCHER VESSEL ASSOCIATION,CAPE KIWANDA,61432,618158,1235
101,AKUTAN CATCHER VESSEL ASSOCIATION,COLUMBIA,39056,615729,1228
101,AKUTAN CATCHER VESSEL ASSOCIATION,DOMINATOR,8668,602309,411
101,AKUTAN CATCHER VESSEL ASSOCIATION,EXCALIBUR II,54653,636602,410
101,AKUTAN CATCHER VESSEL ASSOCIATION,EXODUS EXPLORER,33112,598666,1249
101,AKUTAN CATCHER VESSEL ASSOCIATION,GLADIATOR,32473,598380,1318
101,AKUTAN CATCHER VESSEL ASSOCIATION,GOLDEN DAWN,35687,604315,1292
101,AKUTAN CATCHER VESSEL ASSOCIATION,GOLDEN PISCES,32817,599585,586
101,AKUTAN CATCHER VESSEL ASSOCIATION,HAZEL LORRAINE,57117,592211,523
101,AKUTAN CATCHER VESSEL ASSOCIATION,INTREPID EXPLORER,64105,988598,4993
101,AKUTAN CATCHER VESSEL ASSOCIATION,INTREPID EXPLORER,64105,988598,4993
101,AKUTAN CATCHER VESSEL ASSOCIATION,LESLIE LEE,56119,584873,1234
101,AKUTAN CATCHER VESSEL ASSOCIATION,LISA MELINDA,41520,584360,4506
101,AKUTAN CATCHER VESSEL ASSOCIATION,MAJESTY,60650,962718,3996
101,AKUTAN CATCHER VESSEL ASSOCIATION,MARCY J,55,517024,2142
101,AKUTAN CATCHER VESSEL ASSOCIATION,MARGARET LYN,31672,615563,723
101,AKUTAN CATCHER VESSEL ASSOCIATION,MARK I,6440,509552,1242
101,AKUTAN CATCHER VESSEL ASSOCIATION,NORDIC EXPLORER,51092,678234,3009
