Vessel_name,USCG,AFA,,
ALYESKA SEAFOODS ,,5320 ,,
ARCTIC ENTERPRISE ,248169 ,5314 ,,
NORTHERN VICTOR ,248959 ,4078 ,,
PETER PAN SEAFOODS - KING COVE ,,5358 ,,
TRIDENT SEAFOODS CORP. - AKUTAN ,,5306 ,,
TRIDENT SEAFOODS CORP. - SAND POINT ,,5305 ,,
"UNISEA, INC. - DUTCH HARBOR ",,5310 ,,
WESTWARD SEAFOODS - DUTCH HARBOR ,,,,
ALYESKA SEAFOODS,,5320,,
ARCTIC ENTERPRISE,248169,5314,,
NORTHERN VICTOR,248959,4078,,
PETER PAN SEAFOODS - KING COVE,,5358,,
TRIDENT SEAFOODS CORP. - AKUTAN,,5306,,
TRIDENT SEAFOODS CORP. - SAND POINT,,5305,,
"UNISEA, INC. - DUTCH HARBOR",,5310,,
WESTWARD SEAFOODS - DUTCH HARBOR,,5323,,
ALYESKA SEAFOODS,,5320,,
ARCTIC ENTERPRISE,248169,5314,,
NORTHERN VICTOR,248959,4078,,
PETER PAN SEAFOODS - KING COVE,,5358,,
TRIDENT SEAFOODS CORP. - AKUTAN,,5306,,
TRIDENT SEAFOODS CORP. - SAND POINT,,5305,,
"UNISEA, INC. - DUTCH HARBOR",,5310,,
WESTWARD SEAFOODS - DUTCH HARBOR,,5323,,
ALYESKA SEAFOODS,,5320,,
ARCTIC ENTERPRISE,248169,5314,,
NORTHERN VICTOR,248959,4078,,
PETER PAN SEAFOODS - KING COVE,,5358,,
TRIDENT SEAFOODS CORP. - AKUTAN,,5306,,
TRIDENT SEAFOODS CORP. - SAND POINT,,5305,,
"UNISEA, INC. - DUTCH HARBOR",,5310,,
WESTWARD SEAFOODS - DUTCH HARBOR,,5323,,
ALYESKA SEAFOODS,,5320,,
ARCTIC ENTERPRISE,248169,5314,,
NORTHERN VICTOR,248959,4078,,
PETER PAN SEAFOODS - KING COVE,,5358,,
TRIDENT SEAFOODS CORP. - AKUTAN,,5306,,
TRIDENT SEAFOODS CORP. - SAND POINT,,5305,,
"UNISEA, INC. - DUTCH HARBOR",,5310,,
WESTWARD SEAFOODS - DUTCH HARBOR,,5323,,
