Fishery,Year,Vessel Name ,ADFG ,USCG ,AFA ,Inshore ,Co-op ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AJ ,57934 ,599164 ,3405 ,Westward ,107 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALASKA ROSE ,38989 ,610984 ,515 ,Unalaska ,105 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALASKAN COMMAND ,57321 ,599383 ,3391 ,Westward ,107 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALDEBARAN ,48215 ,664363 ,901 ,Akutan ,101 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALEUTIAN CHALLENGER ,50570 ,603820 ,1687 ,na ,na ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALSEA ,40749 ,626517 ,2811 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ALYESKA ,00045 ,560237 ,395 ,Westward ,107 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AMBER DAWN ,00028 ,529425 ,980 ,Peter Pan ,104 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AMERICAN BEAUTY ,24255 ,613847 ,1688 ,Peter Pan ,104 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AMERICAN CHALLENGER ,62152 ,633219 ,4120 ,na ,na ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AMERICAN EAGLE ,00039 ,558605 ,434 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ANITA J ,00029 ,560532 ,1913 ,na ,na ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ARCTIC EXPLORER ,57440 ,936302 ,3388 ,Arctic Ent ,102 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ARCTIC WIND ,01112 ,608216 ,5137 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ARCTURUS ,45978 ,655328 ,533 ,Akutan ,101 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,ARGOSY ,38547 ,611365 ,2810 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AURIGA ,56153 ,639547 ,2889 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,AURORA ,56154 ,636919 ,2888 ,UniSea ,106 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,BERING ROSE ,40638 ,624325 ,516 ,Unalaska ,105 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,BLUE FOX ,62892 ,979437 ,4611 ,Akutan ,101 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,BRISTOL EXPLORER ,55923 ,647985 ,3007 ,Arctic Ent ,102 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,CAITLIN ANN ,59779 ,960836 ,3800 ,Westward ,107 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,CALIFORNIA HORIZON ,33697 ,590758 ,412 ,na ,na ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,CAPE KIWANDA ,61432 ,618158 ,1235 ,na ,na ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,CHELSEA K ,62906 ,976753 ,4620 ,Westward ,107 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,COLUMBIA ,39056 ,615729 ,1228 ,Akutan ,101 ,,,,,,,,,,,,,,,,,,
Bering Pollock,2000,COMMODORE ,53843 ,914214 ,2657 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,DEFENDER ,56676 ,544030 ,3257 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,Y ,Y ,
Bering Pollock,2000,DESTINATION ,60655 ,571879 ,3988 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,DOMINATOR ,08668 ,602309 ,411 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,SOVEREIGNTY ,55199 ,651752 ,2770 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,DONA MARTITA ,51672 ,651751 ,2047 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NORTHERN PATRIOT ,55153 ,637744 ,2769 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,ELIZABETH F ,14767 ,526037 ,823 ,na ,na ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,EXCALIBER II ,54653 ,636602 ,410 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,EXODUS ,33112 ,598666 ,1249 ,Akutan ,101 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,FIERCE ALLEGIANCE ,55111 ,588849 ,4133 ,Westward ,107 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,GLADIATOR ,32473 ,598380 ,1318 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,FORUM STAR ,59687 ,925863 ,4245 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,GOLD RUSH ,40309 ,521106 ,1868 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,GOLDEN DAWN ,35687 ,604315 ,1292 ,Akutan ,101 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,GOLDEN PISCES ,32817 ,599585 ,586 ,Akutan ,101 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,GREAT PACIFIC ,37660 ,608458 ,511 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,GUN-MAR ,41312 ,640130 ,425 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,Y ,Y ,
Bering Pollock,2000,HALF MOON BAY ,39230 ,615796 ,249 ,N. Victor ,103 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,HICKORY WIND ,47795 ,594154 ,993 ,Westward ,107 ,,,,,,,,,,,,,,,Y ,Y ,,
Bering Pollock,2000,INTREPID EXPLORER ,64105 ,988598 ,4993 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,LESLIE LEE ,56119 ,584873 ,1234 ,Akutan ,101 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,LISA MELINDA ,41520 ,584360 ,4506 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,MAJESTY ,60650 ,962718 ,3996 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MARCY J ,00055 ,517024 ,2142 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,MARGARET LYN ,31672 ,615563 ,723 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MAR-GUN ,12110 ,525608 ,524 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MARK I ,06440 ,509552 ,1242 ,na ,na ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,MESSIAH ,66196 ,610150 ,6081 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,MISS BERDIE ,59123 ,913277 ,3679 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,MISTY DAWN ,68858 ,926647 ,5946 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MORNING STAR ,38431 ,610393 ,208 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MS AMY ,56164 ,920936 ,2904 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,MUIR MILACH ,41021 ,611524 ,480 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NEAHKAHNIE ,32858 ,599534 ,424 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NORDIC EXPLORER ,51092 ,678234 ,3009 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NORDIC FURY ,00200 ,542651 ,1094 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NORDIC STAR ,00961 ,584684 ,428 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,NORTHWEST EXPLORER ,36808 ,609384 ,3002 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,OCEAN EXPLORER ,51073 ,678236 ,3011 ,Arctic Ent ,102 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,OCEAN HARVESTER ,00101 ,549892 ,5130 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,OCEAN HOPE 1 ,48171 ,652395 ,1640 ,na ,na ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,OCEAN HOPE 3 ,48173 ,652397 ,1623 ,Westward ,107 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,OCEAN LEADER ,00032 ,561518 ,1229 ,Peter Pan ,104 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,OCEANIC ,03404 ,602279 ,1667 ,Peter Pan ,104 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,MORNING STAR (3) ,41009 ,618797 ,7270 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,PACIFIC CHALLENGER ,06931 ,518937 ,657 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PACIFIC EXPLORER ,50759 ,678237 ,3010 ,Arctic Ent ,102 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,PACIFIC FURY ,00033 ,561934 ,421 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,PACIFIC KNIGHT ,54643 ,561771 ,2783 ,Westward ,107 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,PACIFIC MONARCH ,54645 ,557467 ,2785 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,PACIFIC PRINCE ,61450 ,697280 ,4194 ,Westward ,107 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PACIFIC RAM ,61792 ,589115 ,4305 ,na ,na ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,PACIFIC VIKING ,00047 ,555058 ,422 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PAPADO II ,55512 ,536161 ,2087 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PEGASUS ,57149 ,565120 ,1265 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PEGGY JO ,09200 ,502779 ,979 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,PERSEVERANCE ,12668 ,536873 ,2837 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,POSEIDON ,37036 ,610436 ,1164 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PREDATOR ,33744 ,547390 ,1275 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,PROGRESS ,00006 ,565349 ,512 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,Y ,Y ,
Bering Pollock,2000,RAVEN ,56395 ,629499 ,1236 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,ROYAL AMERICAN ,40840 ,624371 ,543 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,ROYAL ATLANTIC ,00046 ,559271 ,236 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,SEA STORM ,40969 ,628959 ,420 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,SEA WOLF ,35957 ,609823 ,1652 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,SEADAWN ,00077 ,548685 ,2059 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,SEEKER ,59476 ,924585 ,2849 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,STAR FISH ,00012 ,561651 ,1167 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,STARLITE ,34931 ,597065 ,1998 ,UniSea ,106 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,STARWARD ,39197 ,617807 ,417 ,UniSea ,106 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,STORM PETREL ,39860 ,620769 ,1641 ,N. Victor ,103 ,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2000,SUNSET BAY ,35527 ,598484 ,251 ,N. Victor ,103 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,TOPAZ ,40250 ,5754289 ,0405 ,na ,na ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,TRACY ANNE ,54654 ,904859 ,2823 ,na ,na ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,TRAVELER ,58821 ,929356 ,3404 ,na ,na ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,VANGUARD ,39946 ,617802 ,519 ,Unalaska ,105 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,VESTERAALEN ,38342 ,611642 ,517 ,na ,na ,,,,,,,,,,,,,,,N ,N ,N ,Y 
Bering Pollock,2000,VIKING ,00008 ,565017 ,1222 ,Westward ,107 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2000,VIKING EXPLORER ,36045 ,605228 ,1116 ,Akutan ,101 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,WALTER N ,34919 ,257365 ,825 ,Peter Pan ,104 ,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2000,WESTERN DAWN ,22294 ,524423 ,134 ,Unalaska ,105 ,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2000,WESTWARD I ,53247 ,615165 ,1650 ,Westward ,107 ,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2001,AJ,57934,599164,3405,WESTWARD,107,,,,,,,,,,,,,,,Y ,,,
Bering Pollock,2001,ALASKA ROSE,38989,610984,515,UNALASKA,105,,,,,,,,,,,,,,,N ,Y ,,
Bering Pollock,2001,ALASKAN COMMAND,57321,599383,3391,WESTWARD,107,,,,,,,,,,,,,,,N ,N ,,
Bering Pollock,2001,ALDEBARAN,48215,664363,901,AKUTAN,101,,,,,,,,,,,,,,,N ,,,
Bering Pollock,2001,ALEUTIAN CHALLENGER,50570,603820,1687,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ALSEA,40749,626517,2811,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ALYESKA,00045,560237,395,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AMBER DAWN,00028,529425,980,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AMERICAN BEAUTY,24255,613847,1688,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AMERICAN CHALLENGER,62152,633219,4120,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AMERICAN EAGLE,00039,558605,434,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ANITA J,00029,560532,1913,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ARCTIC EXPLORER,57440,936302,3388,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ARCTIC WIND,01112,608216,5137,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ARCTURUS,45978,655328,533,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,ARGOSY,38547,611365,2810,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AURIGA,56153,639547,2889,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,AURORA,56154,636919,2888,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,BERING ROSE,40638,624325,516,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,BLUE FOX,62892,979437,4611,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,BRISTOL EXPLORER,55923,647985,3007,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CAITLIN ANN,59779,960836,3800,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CALIFORNIA HORIZON,33697,590758,412,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CAPE KIWANDA,61432,618158,1235,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,CHELSEA K,62906,976753,4620,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COLLIER BROTHERS,54648,593809,2791,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COLUMBIA,39056,615729,1228,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,COMMODORE,53843,914214,2657,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2001,DEFENDER,56676,554030,3257,UNISEA,106,,,,,,,,,,,,,,,,,,
