Fishery,Year,Participant type,Vessel_name,ADF&G / USCG ,FFP/FPP Number ,AFA Permit Number ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,ALASKAN COMMAND ,57321 / 599383 ,3391 ,3391 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,ALASKA ROSE ,38989 / 610984 ,515 ,515 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,ALEUTIAN CHALLENGER ,50570 I 603820 ,1687 ,1687 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,ALYESKA ,00045 / 560237 ,395 ,395 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,BERING ROSE ,40638 I 624325 ,516 ,516 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,CAITLIN ANN ,59779 / 960836 ,3800 ,3800 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,GOLDEN DAWN ,35687 / 604315 ,1292 ,1292 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,GUN MAR ,41312 / 640130 ,425 ,425 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,MARKI ,06440 I 509552 ,1242 ,1242 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,MISTY DAWN ,68858 / 926647 ,5946 ,5946 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,MORNING STAR ,38431 / 610393 ,208 ,208 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,NORTHWEST EXPLORER ,36808 I 609384 ,3002 ,3002 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,PACIFIC CHALLENGER ,06931 / 518937 ,657 ,657 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,PACIFIC EXPLORER ,50759 I 678237 ,3010 ,3010 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,PACIFIC PRINCE ,61450 / 697280 ,4194 ,4194 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,PACIFIC VIKING ,00047 / 555058 ,422 ,422 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,ROY AL AMERICAN ,40840 / 624371 ,543 ,543 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,STARFISH ,00012 / 561651 ,1167 ,1167 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,VESTERAALEN ,38342 / 611642 ,517 ,517 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,VIKING ,00008 / 565017 ,1222 ,1222 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CV ,WESTWARD I ,53247 / 615165 ,1650 ,1650 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,ALASKA OCEAN ,60407 I 637856 ,3794 ,3794 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,AMERICAN TRIUMPH ,60660 I 646737 ,4055 ,4055 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,AMERICAN DYNASTY ,59378 / 951307 ,3681 ,3681 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,OCEAN ROVER ,56987 I 552100 ,3442 ,3442 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,KATIE ANN ,55301 / 518441 ,1996 ,1996 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,HIGHLAND LIGHT ,56974 / 577044 ,3348 ,3348 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,ISLAND ENTERPRISE ,59503 / 610290 ,3870 ,3870 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,KODIAK ENTERPRISE ,59170 I 579450 ,3671 ,3671 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,SEATTLE ENTERPRISE ,56789 / 904767 ,3245 ,3245 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,CP ,STARBOUND ,57621 / 944658 ,3414 ,3414 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,MTH ,EXCELLENCE ,60958 I 967502 ,4111 ,4111 ,,,,,,,,,,,,,,,
Aleutian Pollock,2005,SHP ,Adak Fisheries LLC -Adak ,27101 ,,,,,,,,,,,,,,,,,
Aleutian Pollock,2005,SHP ,"Westward Seafoods, Inc. -Dutch Harbor ",5323 ,5323 ,,,,,,,,,,,,,,,,
Aleutian Pollock,2005,SHP ,"Unisea, Inc. -Dutch Harbor ",5310 ,5310 ,,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,ALYESKA ,00045 / 560237 ,395 ,395 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,GUN MAR ,41312 / 640130 ,425 ,425 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,DOMINATOR ,08668/602309 ,411 ,411 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,GOLDEN DAWN ,35687/604315 ,1292 ,1292 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,CV ,PACIFIC VIKING ,00047/555058 ,422 ,422 ,,,,,,,,,,,,,,,
Aleutian Pollock,2006,Shoreside Processor ,Adak Fisheries LLC ,27101 ,,,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,ALYESKA ,00045 / 560237 ,395 ,395 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,GUN MAR ,41312 / 640130 ,425 ,425 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,DOMINATOR ,08668 / 602309 ,411 ,411 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,GOLDEN DAWN ,35687 / 604315 ,1292 ,1292 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,PACIFIC VIKING ,00047 / 555058 ,422 ,422 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,INTREPID EXPLORER ,64105 / 88598 ,4993 ,4993 ,,,,,,,,,,,,,,,
