recovery_id,tag_code,Observer,vessel_name,cruise_no,PERMIT,Haul_or_Delivery_no,year,month,day,Lat,Long,ves_akr_length,trip_target_code,gf_processing_sector,length_category
1990091022,632842,CARSON_MK,BROWNS POINT,NA,,121,1990,04,10,57,149,190,"pollock, other","CP,M",Large
1990091023,211904,CARSON_MK,BROWNS POINT,NA,,121,1990,04,10,57,149,190,"pollock, other","CP,M",Large
1990091024,211904,CARSON_MK,BROWNS POINT,NA,,121,1990,04,10,57,149,190,"pollock, other","CP,M",Large
1990091025,633230,CARSON_MK,BROWNS POINT,NA,,121,1990,04,10,57,149,190,"pollock, other","CP,M",Large
1990091026,072922,CARSON_MK,BROWNS POINT,NA,,121,1990,04,10,57,149,190,"pollock, other","CP,M",Large
1990091142,073542,MCLEAN_DONNA,REBECCA IRENE,NA,,NA,1990,07,15,58,148,140,"pollock, other",CP,Large
1990091158,311805,CORNILS_D,OCEAN ROVER,NA,,58,1990,11,07,52,172,256,"pollock, other","CP,M",Large
1990091163,074328,MORSE_D,REBECCA IRENE,NA,,480,1990,04,06,57,149,140,"pollock, other",CP,Large
1991091011,632842,CROSS_DAVID,TREMONT,NA,,17,1991,03,27,58,148,124,"pollock, other",CP,Small
1991091012,043107,CROSS_DAVID,TREMONT,NA,,17,1991,03,27,58,148,124,"pollock, other",CP,Small
1991091013,024261,CROSS_DAVID,TREMONT,NA,,20,1991,03,28,58,148,124,"pollock, other",CP,Small
1991091017,025808,DAVIS_SHARON,SPEEDWELL,NA,,10,1991,01,12,54,163,180,"pollock, other",M,Large
1991091053,032113,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,04,18,57,137,203,"pollock, other",CP,Large
1991091054,634414,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,03,14,55,155,203,"pollock, other",CP,Large
1991091055,074635,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,,,NA,NA,203,"pollock, other",CP,Large
1991091056,635259,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,,,NA,NA,203,"pollock, other",CP,Large
1991091057,073055,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,,,NA,NA,203,"pollock, other",CP,Large
1991091058,634414,AULBACH_STEVE,ALASKA RANGER,NA,,841,1991,,,NA,NA,203,"pollock, other",CP,Large
1991091059,026302,LORAINE_HAZEL,ALASKA RANGER,NA,,11,1991,10,21,57,152,203,"pollock, other",CP,Large
1991091066,311854,ROFFEY_HEATHER,EXCELLENCE,NA,,56,1991,10,24,57,152,367,"pollock, other",M,Large
1992091023,025520,HALLMARK_M,BERING ENTERPRISE,NA,,408,1992,03,09,59,146,183,"pollock, other",CP,Large
1992091024,026006,BRENTON_BEVERLY,AMERICAN ENTERPRISE,NA,,358,1992,03,25,56,173,210,"pollock, other",CP,Large
1992091025,026044,BRENTON_BEVERLY,AMERICAN ENTERPRISE,NA,,372,1992,04,02,56,155,210,"pollock, other",CP,Large
1992091034,635247,WETHER_L,PACIFIC TRAWLER,NA,,257,1992,04,05,57,152,132,"pollock, other",CP,Large
1992091038,635259,PETRONE_DINO,AMERICAN ENTERPRISE,NA,,535,1992,05,02,57,150,210,"pollock, other",CP,Large
1992091073,021522,BRUBAKER_H,NORTHERN GLACIER,NA,,886,1992,12,22,54,165,201,"pollock, other","CP,M",Large
1992091074,020750,BRUBAKER_H,NORTHERN GLACIER,NA,,895,1992,12,25,54,166,201,"pollock, other","CP,M",Large
1992091075,020754,BRUBAKER_H,NORTHERN GLACIER,NA,,894,1992,12,25,54,166,201,"pollock, other","CP,M",Large
1992091076,021428,BRUBAKER_H,NORTHERN GLACIER,NA,,899,1992,12,27,54,165,201,"pollock, other","CP,M",Large
1992091079,020754,JACOBS_PAUL,GOLDEN ALASKA,NA,,45,1992,12,18,54,165,305,"pollock, other",M,Large
1993091076,212010,BROWN_TIM,HIGHLAND LIGHT,NA,,37,1993,03,19,57,149,270,"pollock, other","CP,M",Large
1993091077,043406,BROWN_TIM,HIGHLAND LIGHT,NA,,37,1993,03,19,57,149,270,"pollock, other","CP,M",Large
1993091078,471609,BROWN_TIM,HIGHLAND LIGHT,NA,,37,1993,03,19,57,149,270,"pollock, other","CP,M",Large
1993091109,180433,BOETSCH_J,DEFENDER,NA,,26,1993,07,18,56,153,123,"pollock, other",CP,Small
1993091144,026015,OBSERVER,AMERICAN ENTERPRISE,NA,,339,1993,03,21,56,154,210,"pollock, other",CP,Large
1993091145,075707,GRETER_R,UNIMAK,NA,,389,1993,04,05,57,150,185,other,CP,Large
1993091146,082847,GRETER_R,UNIMAK,NA,,398,1993,04,06,57,150,185,other,CP,Large
1993091147,075626,GRETER_R,UNIMAK,NA,,411,1993,04,09,56,152,185,other,CP,Large
1993091148,043536,GRETER_R,UNIMAK,NA,,411,1993,04,09,56,152,185,other,CP,Large
1993091149,075626,GRETER_R,UNIMAK,NA,,411,1993,04,09,56,152,185,other,CP,Large
1993091150,212010,GRETER_R,UNIMAK,NA,,417,1993,04,10,57,150,185,other,CP,Large
1993091151,630756,GRETER_R,UNIMAK,NA,,429,1993,04,13,56,153,185,other,CP,Large
1993091152,020261,GRETER_R,UNIMAK,NA,,429,1993,04,13,56,153,185,other,CP,Large
1993091154,021558,GRETER_R,UNIMAK,NA,,437,1993,04,14,56,153,185,other,CP,Large
1993091155,180247,GRETER_R,UNIMAK,NA,,437,1993,04,14,56,153,185,other,CP,Large
1993091156,634117,GRETER_R,UNIMAK,NA,,437,1993,04,14,56,153,185,other,CP,Large
1993091157,074820,GRETER_R,UNIMAK,NA,,451,1993,04,16,56,154,185,other,CP,Large
1993091160,180306,BURNS_S,AMERICAN TRIUMPH,NA,,119,1993,10,14,54,166,285,pollock,"CP,M",Large
1993091165,020331,GEDANKE_JASON,NORTHERN EAGLE,NA,,54,1993,08,30,56,169,341,"pollock, other",CP,Large
1994091002,021316,PAUL_JIM,AMERICAN DYNASTY,NA,,16,1994,01,25,54,165,272,pollock,"CP,M",Large
1994091015,021428,OBIDS_MACIA,NORTHERN JAEGER,NA,,21,1994,01,26,55,165,336,"pollock, other","CP,M",Large
1994091042,180322,RUSSELL_S,HEATHER SEA,NA,,167,1994,03,14,60,178,292,"pollock, other","CP,M",Large
1994091047,020128,HOFF_JERRY,NORTHERN HAWK,NA,,60,1994,02,04,55,164,341,"pollock, other",CP,Large
1994091129,180337,CR_TB,AMERICAN TRIUMPH,NA,,333,1994,09,20,56,167,285,pollock,"CP,M",Large
1994091138,634117,PAKOSZ_THOR,AMERICAN ENTERPRISE,NA,,272,1994,03,11,56,154,210,"pollock, other",CP,Large
1994091160,181215,VICKI HOOVER,ENDURANCE,NA,,6,1994,12,06,56,171,278,"pollock, other","CP,M",Large
1995091161,180431,,BROWNS POINT,NA,,25,1995,01,26,55,164,190,"pollock, other","CP,M",Large
1989091004,024541,RUETER,TAASINGE,NA,,3,1989,03,13,58,153,75,"pollock, other",S,Small
