,recovery_location_code,latitude,longitude,recovery_description
1,2MS22P014CLAY RT 01,49.3089,-124.1928,GSPTN           STAT AREA: P014 CLAYTONS FISHING RESP014
2,2MS27H024RAFA PT 06,49.2861,-126.2325,WSPT            STAT AREA: H024 RAFAEL POINT        H024
3,2MS22P016HARN IS 02,49.6,-124.0167,GSPTN           STAT AREA: P016 HARNESS ISLAND      P016
4,2MS23M19ATOD IN  09,48.5833,-123.4833,GSPTS           STAT AREA: M19A TOD INLET           M19A
5,2MS23P018GRAC IT 03,48.8517,-123.4936,GSPTS           STAT AREA: P018 GRACE ISLET         P018
6,2MS23P018COLL PT 02,48.85,-123.35,GSPTS           STAT AREA: P018 COLLINSON POINT     P018
7,2MS23P029GOWE PT,49.3819,-123.5382,GSPTS           STAT AREA: P029 GOWER POINT         P029
8,2MS23P018HOPE BY 05,48.8167,-123.2667,GSPTS           STAT AREA: P018 HOPE BAY            P018
9,2MS23P018IMRI IS 06,48.6944,-123.3331,GSPTS           STAT AREA: P018 IMRIE ISLAND        P018
10,2MS23P018MORE IS,53.0789,-132.1278,GSPTS           STAT AREA: P018 MORESBY ISLAND      P018
11,2MS23P028COLL CH 01,49.3833,-123.4167,GSPTS           STAT AREA: P028 COLLINGWOOD CHANNEL P028
12,2MS24M19BMCKE BY 10,48.5536,-123.5089,JFSPT           STAT AREA: M19B MCKENZIE BIGHT      M19B
13,2MS23P017HARMAC  16,49.1333,-123.8333,GSPTS           STAT AREA: P017 HARMAC              P017
14,2MS24M19BFIDD RF 04,48.4333,-123.2833,JFSPT           STAT AREA: M19B FIDDLE REEF         M19B
15,2MS23P029BOUN BY 08,49,-122.9167,GSPTS           STAT AREA: P029 BOUNDARY BAY        P029
16,2MS24P020BENT IS 05,48.3167,-123.55,JFSPT           STAT AREA: P020 BENTINCK ISLAND     P020
17,2MS22P016MOUA BY 21,49.6394,-124.4511,GSPTN           STAT AREA: P016 MOUAT BAY           P016
18,2MS23P029ROBE BK 07,49.0617,-123.1775,GSPTS           STAT AREA: P029 ROBERTS BANK        P029
19,2MS23P029CRES BE 08,49.05,-122.8833,GSPTS           STAT AREA: P029 CRESCENT BEACH      P029
20,2MN26H006GAUD PT 01,53.7167,-128.8333,CSPT            STAT AREA: H006 GAUDIN POINT        H006
21,2MN26H006HOPK PT 01,53.7833,-128.8167,CSPT            STAT AREA: H006 HOPKINS POINT       H006
22,2MN26H006GILT IN 01,53.8333,-128.9667,CSPT            STAT AREA: H006 GILTTOYEES INLET    H006
23,2MN26H006PAIS PT 01,53.75,-129,CSPT            STAT AREA: H006 PAISLEY POINT       H006
24,2MN26H006KHUT IN 23,53.1,-128.5,CSPT            STAT AREA: H006 KHUTZE INLET        H006
25,2MN26H006KITI VI 01,53.9833,-128.65,CSPT            STAT AREA: H006 KITIMAAT VILLAGE    H006
26,2MN26H006MISK IN 01,53.8333,-128.9333,CSPT            STAT AREA: H006 MISKATLA INLET      H006
27,2MN26H009SHAR IS 02,52.4833,-128.75,CSPT            STAT AREA: H009 SHARBAU ISLAND      H009
