,state/prov,F/M,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,description,rmpc_region,rmpc_basin,Rec area-W,Rec area.Shelton,Rec area.Shelton2,Rec area.Shelton3,Rec.area.Sullaway.Shelton,Rec.area.GS.nmfs
1,1,M,1M,1,AK M,NA,NA,PENI,WEAK,Alaska marine,WEAK,PENI,AK,AK,AK,AK,AK,AK
2,1,M,1M1,1,AK M 1,NA,NA,PENI,WEAK,"Alaska marine, Region 1",WEAK,PENI,NSE SSE,NSE SSE,NSE SSE,NSE SSE,NSE SSE,NSE SSE
3,1,M,1M1  001,1,AK M 1 001,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, District 001",SEAK,SEAKG,SSE,SSEAK,SSEAK,SSEAK,SSEAK,SSEAK
4,1,M,1M1  001 00,1,AK M 1 001-00,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, District 001, Subdistrict 00",SEAK,SEAKG,SSE,SSEAK,SSEAK,SSEAK,SSEAK,SSEAK
5,1,M,1M101,1,AK M 1 01,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, PELICAN,  Quadrant , District , Subdistrict",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
6,1,M,1M101    NW11391,1,AK M 1 01 NW11391,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, PELICAN,  Quadrant NW, District 113, Subdistrict 91",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
7,1,M,1M101    NW11395,1,AK M 1 01 NW11395,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, PELICAN,  Quadrant NW, District 113, Subdistrict 95",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
8,1,M,1M102    NW,1,AK M 1 02 NW,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District , Subdistrict",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
9,1,M,1M102    NW11391,1,AK M 1 02 NW11391,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District 113, Subdistrict 91",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
10,1,M,1M102    NW11394,1,AK M 1 02 NW11394,NA,NA,SEAKG,SEAK,"Alaska marine, Region 1, ELFIN COVE,  Quadrant NW, District 113, Subdistrict 94",SEAK,SEAKG,NSE,NSEAK,NSEAK,NSEAK,NSEAK,NSEAK
