"","rec_year","Hake Trawl At Sea","Hake Trawl Shoreside","Rockfish Trawl","Groundfish Trawl","Nearshore Groundfish","Groundfish Observer","Rockfish Fishery","Ocean Trawl By-catch"
"1","1981",72,0,0,0,0,2,0,16
"2","1982",148,0,0,0,0,6,0,0
"3","1983",20,0,0,0,0,10,0,0
"4","1984",42,0,0,0,0,122,0,0
"5","1985",30,0,0,0,0,40,0,0
"6","1986",972,0,0,0,0,12,0,0
"7","1987",464,0,0,0,0,2,0,0
"8","1988",284,0,0,0,0,4,0,0
"9","1989",238,0,0,0,0,0,0,0
"10","1990",148,0,0,0,0,28,0,0
"11","1991",28,0,0,0,0,18,0,0
"12","1992",12,0,0,0,0,38,0,18
"13","1993",2,0,0,0,0,30,0,0
"14","1994",44,0,0,0,0,44,0,2
"15","1995",120,0,0,0,0,20,0,0
"16","1996",34,0,0,0,0,46,0,0
"17","1997",30,0,0,0,0,104,0,0
"18","1998",36,0,0,0,0,172,0,2
"19","1999",76,0,0,0,0,200,0,18
"20","2000",158,0,0,0,0,102,0,38
"21","2001",106,0,0,0,0,82,0,14
"22","2002",72,0,0,64,0,100,0,34
"23","2003",284,0,0,74,0,22,0,0
"24","2004",90,0,0,12,0,68,0,24
"25","2005",224,0,0,0,0,50,0,20
"26","2006",36,0,2,0,0,64,0,18
"27","2007",58,0,0,8,0,40,0,106
"28","2008",20,0,0,2,0,16,0,0
"29","2009",32,0,0,2,0,18,0,0
"30","2010",26,0,0,0,0,40,0,0
"31","2011",140,0,0,18,0,10,0,0
"32","2012",106,0,0,12,0,72,0,0
"33","2013",54,0,4,12,2,44,40,0
"34","2014",152,0,0,36,0,40,12,0
"35","2015",38,128,0,0,0,90,10,0
"36","2016",62,0,0,0,0,250,10,0
