
30-DEC-14

"PERMIT","VESSEL NAME","CG NUM","ADFG","LOA","NET WEIGHT","BSA","GOA","MTH","SFP","SUP","TEN","GOI","PRIMARY OWNER","ADDRESS 1","ADDRESS 2","CITY","STATE","ZIP CODE"

"7021","CAPE GREIG","654947","46069","182","658","N","Y","N","Y","N","N","N","CAPE GREIG LLC				       ","PO BOX 80342","","SEATTLE","WA","98108"
"5293","GORDON JENSEN","594619","30919","328","3801","Y","Y","N","Y","N","N","N","COASTAL STAR, INC.				   ","PO BOX 79003","","SEATTLE","WA","98119"
"4078","NORTHERN VICTOR","248959","60507","379","2196","Y","Y","N","Y","N","N","Y","EVENING STAR, INC.				     ","PO BOX 79003","","SEATTLE","WA","98119"
"5433","PRIBILOF","293151","45836","205","1035","Y","Y","N","Y","N","N","N","TRIDENT SEAFOODS CORPORATION		      ","ATTN ALASKA SUPPORT","5303 SHILSHOLE AVE NW","SEATTLE","WA","98107"
"5362","R M THORSTENSON","627433","64242","316","1711","Y","Y","N","Y","N","N","N","ICICLE VESSEL HOLDINGS, INC.		     ","PO BOX 79003","","SEATTLE","WA","98119"

"Endorsement Codes: BSAI=Bering Sea/Aleutian Islands   GOA=Gulf of Alaska "

"SFP=Stationary Floating Processor"
